falsified,verified_purchase,sentiment,mean_word_len,num_punctuations,flesch_kincaid_grade,overall_readability_index,total_sentiment,average_review_sentiment
0,0,1,4.532258064516129,21,23.9,24.0,4.0,4.0
0,1,1,5.0,7,6.0,7.0,16.0,5.333333333333333
1,0,1,4.2,7,10.1,8.0,7.0,3.5
0,0,1,4.566037735849057,8,22.8,23.0,4.0,4.0
0,1,1,4.071428571428571,7,21.6,26.0,3.0,3.0
0,1,1,4.826086956521738,6,9.3,9.0,7.0,2.333333333333333
0,1,1,4.837209302325581,7,9.3,9.0,5.0,2.5
1,0,1,4.142857142857143,4,1.3,2.0,12.0,4.0
1,1,1,4.068965517241379,3,10.7,7.0,4.0,4.0
0,1,1,5.4375,5,3.0,7.0,14.0,4.666666666666667
1,0,1,4.326086956521738,9,5.4,6.0,14.0,3.5
1,0,1,3.883116883116883,7,7.3,7.0,13.0,3.25
1,0,1,4.017543859649122,8,7.2,7.0,7.0,2.333333333333333
1,1,1,4.5,3,3.6,8.0,17.0,8.5
0,0,1,4.0344827586206895,3,2.4,5.0,10.0,3.333333333333333
1,0,1,3.9895833333333335,21,4.8,5.0,20.0,3.333333333333333
0,1,1,4.647058823529412,10,20.8,21.0,10.0,10.0
1,1,1,4.066666666666666,3,3.7,4.0,12.0,4.0
0,1,1,4.7346938775510194,8,20.0,9.0,12.0,12.0
1,0,1,4.17948717948718,4,3.6,7.0,10.0,3.333333333333333
0,1,1,4.25925925925926,3,6.2,7.0,10.0,5.0
1,1,1,4.472222222222221,4,4.4,6.0,11.0,3.6666666666666665
1,1,1,4.418604651162791,8,5.0,5.0,17.0,4.25
0,1,1,4.48,4,5.8,6.0,15.0,3.75
0,1,1,4.212121212121212,7,12.6,8.0,2.0,2.0
0,1,1,3.7741935483870965,4,4.8,5.0,7.0,2.333333333333333
1,0,1,4.666666666666667,10,5.3,6.0,15.0,3.75
1,0,1,4.52,5,4.6,6.0,15.0,3.75
1,0,1,3.8055555555555554,7,2.1,6.0,15.0,3.75
0,0,1,5.054794520547945,22,6.9,7.0,18.0,3.0
1,1,1,3.7916666666666665,4,0.5,1.0,12.0,4.0
0,1,1,4.413793103448277,4,3.5,6.0,8.0,2.6666666666666665
1,1,1,5.7142857142857135,11,16.9,23.0,4.0,4.0
1,0,1,4.14,5,6.3,6.0,10.0,3.333333333333333
1,1,1,4.147058823529412,7,2.8,6.0,14.0,3.5
1,0,1,3.901639344262295,6,4.5,5.0,16.0,4.0
1,0,1,5.136363636363637,13,21.6,22.0,12.0,12.0
0,1,1,4.013333333333334,16,5.9,6.0,15.0,3.75
1,1,1,3.9101123595505616,7,7.3,10.0,11.0,2.75
1,0,1,5.023255813953488,5,5.1,8.0,14.0,3.5
1,1,1,4.368421052631579,3,4.6,4.0,7.0,3.5
1,0,1,4.714285714285714,6,5.0,8.0,15.0,3.75
0,1,1,4.958333333333333,4,11.5,12.0,11.0,11.0
1,0,1,4.195652173913044,13,35.6,36.0,22.0,22.0
1,0,1,4.395348837209301,9,5.3,7.0,13.0,4.333333333333333
1,0,1,4.0,6,6.4,6.0,8.0,4.0
1,0,1,4.34375,8,6.0,7.0,14.0,3.5
0,1,1,5.239130434782608,7,7.8,8.0,11.0,2.75
1,0,1,4.044444444444443,18,34.9,35.0,13.0,13.0
1,1,1,4.216216216216216,6,4.5,5.0,10.0,3.333333333333333
1,1,1,3.9836065573770494,11,4.3,5.0,12.0,3.0
0,1,1,3.8928571428571432,1,8.3,6.0,2.0,2.0
0,0,1,4.041666666666667,4,4.1,3.0,14.0,4.666666666666667
1,0,1,4.5555555555555545,5,3.3,5.0,10.0,3.333333333333333
0,1,1,3.75,4,21.6,22.0,14.0,14.0
1,1,1,4.4625,7,12.5,13.0,10.0,3.333333333333333
1,1,1,4.3,6,3.8,6.0,9.0,3.0
0,1,1,4.3,3,4.8,5.0,8.0,4.0
0,1,1,4.684210526315789,3,8.3,9.0,7.0,7.0
0,1,1,3.9230769230769234,9,8.7,9.0,8.0,4.0
1,1,1,3.829268292682927,5,6.6,7.0,7.0,3.5
0,1,1,3.983333333333333,5,4.4,5.0,12.0,3.0
1,0,1,4.822222222222221,8,8.0,9.0,6.0,2.0
1,0,1,3.633333333333333,2,9.1,0.0,4.0,4.0
1,1,1,4.891891891891891,5,16.5,11.0,7.0,7.0
0,1,1,4.421052631578949,19,5.9,8.0,17.0,2.833333333333333
1,0,1,3.933333333333333,6,5.5,6.0,20.0,5.0
0,1,1,4.625,9,2.8,3.0,18.0,3.6
1,0,1,4.375,2,17.7,18.0,8.0,8.0
1,1,1,5.8125,7,5.4,9.0,12.0,4.0
1,0,1,3.9090909090909087,3,2.7,5.0,8.0,4.0
1,0,1,4.337837837837838,11,28.6,9.0,2.0,2.0
1,1,1,5.0588235294117645,9,6.4,9.0,16.0,5.333333333333333
0,1,1,4.2,2,13.4,9.0,4.0,4.0
1,0,1,4.55,2,4.8,5.0,9.0,4.5
1,0,1,4.5,3,5.6,8.0,6.0,3.0
0,1,1,3.9512195121951224,7,5.0,5.0,15.0,3.0
1,0,1,4.108695652173913,8,4.2,4.0,13.0,3.25
0,1,1,4.117647058823529,3,4.2,6.0,10.0,3.333333333333333
1,0,1,5.12,3,13.0,13.0,2.0,2.0
0,1,1,4.340909090909091,4,18.1,21.0,14.0,14.0
1,0,1,4.375,3,4.1,5.0,11.0,3.6666666666666665
0,1,1,4.4,3,9.5,10.0,7.0,7.0
0,1,1,5.9318181818181825,15,14.2,16.0,14.0,7.0
1,1,1,5.0555555555555545,3,8.0,8.0,12.0,4.0
1,0,1,4.25925925925926,2,7.4,8.0,8.0,4.0
0,1,1,4.903225806451613,10,7.0,7.0,7.0,3.5
1,0,1,4.370967741935484,7,3.8,6.0,22.0,3.6666666666666665
1,1,1,3.8571428571428568,6,3.8,4.0,14.0,7.0
0,1,1,4.35,6,9.9,10.0,9.0,9.0
1,0,1,4.035714285714286,5,5.2,7.0,12.0,3.0
1,0,1,4.021978021978022,5,34.1,0.0,5.0,5.0
0,0,1,3.9387755102040822,5,8.1,6.0,14.0,7.0
1,0,1,4.6,5,3.5,4.0,13.0,4.333333333333333
1,0,1,4.185185185185185,7,7.2,8.0,17.0,3.4
1,1,1,4.2727272727272725,9,5.2,6.0,18.0,3.6
1,1,1,5.55,4,7.2,8.0,17.0,8.5
0,0,1,4.382716049382717,14,31.7,32.0,7.0,7.0
1,1,1,3.861111111111111,4,6.8,6.0,5.0,2.5
1,0,1,5.1,7,4.5,7.0,20.0,4.0
1,1,1,4.111111111111111,4,4.4,6.0,9.0,3.0
0,1,1,5.0,2,9.9,12.0,7.0,7.0
1,1,1,5.0,7,10.0,12.0,21.0,7.0
1,0,1,4.181818181818182,10,6.6,7.0,22.0,4.4
0,1,1,4.672413793103448,12,8.5,9.0,8.0,2.6666666666666665
0,1,1,3.9178082191780814,7,5.7,6.0,12.0,3.0
1,0,1,4.087719298245614,6,10.9,6.0,14.0,7.0
1,0,1,4.258064516129032,10,5.8,6.0,13.0,3.25
0,1,1,5.2,8,11.9,12.0,5.0,5.0
1,0,1,4.789473684210527,3,8.3,8.0,4.0,4.0
0,1,1,4.5,9,6.0,8.0,19.0,4.75
1,0,1,4.218181818181818,6,4.0,6.0,22.0,4.4
1,0,1,4.04,11,2.5,5.0,15.0,3.0
0,1,1,4.115384615384615,10,4.8,5.0,23.0,3.8333333333333335
1,0,1,4.375,7,7.9,8.0,18.0,18.0
0,1,1,4.774193548387096,4,6.1,8.0,8.0,2.6666666666666665
1,0,1,4.884615384615385,7,4.6,7.0,16.0,4.0
1,0,1,4.662921348314606,15,3.6,7.0,33.0,3.6666666666666665
1,1,1,4.6229508196721305,7,6.9,8.0,14.0,3.5
1,0,1,4.205128205128204,6,6.2,6.0,6.0,3.0
1,0,1,3.7560975609756095,4,2.7,3.0,11.0,3.6666666666666665
0,1,1,4.611111111111111,6,8.0,8.0,15.0,15.0
0,1,1,5.045454545454546,9,5.2,6.0,7.0,3.5
1,1,1,4.535714285714286,4,11.8,8.0,4.0,4.0
0,1,1,4.142857142857143,3,3.8,6.0,5.0,2.5
1,0,1,4.333333333333333,4,10.3,11.0,4.0,4.0
1,1,1,5.161290322580644,3,8.2,8.0,8.0,4.0
1,0,1,5.111111111111111,13,7.4,8.0,14.0,3.5
1,0,1,4.333333333333333,8,3.8,6.0,17.0,4.25
1,0,1,3.8571428571428568,5,8.6,9.0,9.0,3.0
1,0,1,4.794520547945205,5,8.1,10.0,14.0,3.5
1,0,1,4.828571428571427,5,4.8,5.0,17.0,3.4
0,1,1,4.03030303030303,2,11.4,7.0,2.0,2.0
0,1,1,3.689655172413793,3,8.7,9.0,4.0,4.0
1,0,1,4.690140845070423,11,29.8,10.0,14.0,14.0
1,0,1,4.590909090909091,2,9.5,9.0,3.0,3.0
1,0,1,4.068965517241379,4,5.4,5.0,11.0,5.5
1,0,1,4.584615384615383,10,7.3,7.0,13.0,3.25
1,0,1,4.8965517241379315,14,7.8,8.0,23.0,3.8333333333333335
1,0,1,4.351351351351353,3,8.1,8.0,6.0,3.0
0,1,1,4.541666666666667,3,4.4,5.0,8.0,4.0
1,1,1,3.9459459459459465,5,2.2,4.0,14.0,3.5
1,0,1,5.136363636363637,2,6.4,7.0,7.0,3.5
1,0,1,4.111111111111111,5,6.8,7.0,8.0,4.0
0,1,1,4.24,5,1.0,3.0,16.0,4.0
1,0,1,3.5357142857142856,3,1.0,1.0,15.0,5.0
0,1,1,4.25,17,24.7,7.0,16.0,16.0
0,1,1,4.533333333333333,8,6.8,7.0,19.0,4.75
1,0,1,4.254901960784314,7,4.2,5.0,24.0,4.0
0,1,1,4.585365853658536,6,4.1,6.0,15.0,3.0
1,1,1,4.2372881355932215,7,12.4,8.0,13.0,6.5
0,1,1,4.224489795918367,4,6.1,7.0,9.0,3.0
1,0,1,5.5555555555555545,3,8.0,10.0,8.0,4.0
0,1,1,4.266666666666667,5,12.6,13.0,14.0,14.0
0,1,1,4.35,2,6.4,8.0,6.0,6.0
1,0,1,4.172413793103448,4,6.1,7.0,10.0,3.333333333333333
0,1,1,4.64,4,11.9,9.0,7.0,7.0
1,0,1,4.144927536231884,3,7.5,7.0,8.0,2.6666666666666665
1,0,1,4.275862068965517,7,23.6,24.0,4.0,4.0
1,0,1,4.027027027027027,5,5.8,6.0,7.0,3.5
1,0,1,4.44,2,4.6,6.0,6.0,3.0
0,1,1,4.735849056603773,13,5.1,6.0,19.0,3.8
1,1,1,3.9736842105263164,8,2.7,3.0,21.0,4.2
0,1,1,3.6730769230769234,4,6.5,7.0,7.0,2.333333333333333
1,1,1,3.8837209302325584,3,15.3,0.0,11.0,11.0
0,1,1,3.969230769230769,5,4.9,6.0,15.0,3.75
0,1,1,4.297297297297297,6,14.2,8.0,7.0,7.0
1,0,1,3.7058823529411766,3,4.0,4.0,5.0,2.5
1,1,1,4.446428571428571,6,21.6,9.0,4.0,4.0
0,1,1,4.875,3,2.9,6.0,12.0,4.0
1,0,1,3.9268292682926833,6,2.6,3.0,14.0,3.5
0,1,1,4.304347826086956,1,4.2,6.0,5.0,2.5
1,0,1,4.260869565217392,4,2.0,2.0,15.0,3.75
0,1,1,4.1571428571428575,13,27.1,7.0,12.0,12.0
1,0,1,4.641025641025641,17,6.2,6.0,8.0,4.0
0,1,1,4.1,3,5.6,6.0,5.0,2.5
1,0,1,4.285714285714286,2,3.8,6.0,5.0,2.5
0,1,1,4.25,8,9.1,7.0,6.0,3.0
1,1,1,4.583333333333333,3,5.6,6.0,8.0,4.0
1,0,1,3.896551724137931,5,2.4,4.0,10.0,3.333333333333333
1,1,1,4.297619047619048,8,7.5,7.0,24.0,4.8
0,1,1,3.9,4,19.3,22.0,9.0,9.0
0,1,1,4.78125,2,7.2,8.0,7.0,3.5
0,0,1,4.535714285714286,6,7.2,8.0,8.0,4.0
0,1,1,5.064516129032258,7,15.4,16.0,18.0,18.0
1,0,1,4.208333333333333,3,7.9,8.0,8.0,8.0
0,1,1,4.121212121212121,3,11.4,7.0,3.0,3.0
0,1,1,4.095238095238095,3,1.3,3.0,13.0,4.333333333333333
1,0,1,4.4,5,15.4,8.0,9.0,9.0
0,1,1,4.681818181818182,2,10.7,11.0,6.0,6.0
1,0,1,4.64,5,5.3,5.0,9.0,3.0
0,1,1,3.8157894736842106,4,4.8,5.0,6.0,3.0
0,1,1,4.085714285714285,2,13.4,8.0,8.0,8.0
0,1,1,4.304347826086956,6,18.9,22.0,13.0,13.0
1,0,1,4.37037037037037,3,5.0,6.0,7.0,3.5
1,0,1,5.181818181818182,2,21.6,25.0,4.0,4.0
0,1,1,4.7727272727272725,3,5.2,7.0,8.0,4.0
0,1,1,4.15,4,1.2,3.0,14.0,4.666666666666667
0,1,1,4.113636363636363,6,16.9,7.0,10.0,10.0
1,0,1,4.061224489795919,5,6.1,6.0,8.0,2.6666666666666665
1,0,1,4.7,12,4.8,5.0,21.0,4.2
0,1,1,4.113207547169812,7,20.4,11.0,10.0,10.0
1,0,1,4.567567567567568,6,5.7,7.0,11.0,3.6666666666666665
0,1,1,5.08,1,10.7,11.0,2.0,2.0
0,1,1,4.271186440677966,10,22.4,8.0,13.0,13.0
0,1,1,4.476190476190476,2,9.1,9.0,7.0,7.0
1,0,1,3.7222222222222223,7,4.4,6.0,12.0,4.0
1,0,1,5.086956521739131,4,5.6,8.0,17.0,4.25
0,1,1,4.575757575757576,14,8.7,9.0,18.0,3.6
0,1,1,4.178571428571429,2,5.2,6.0,6.0,3.0
0,1,1,3.5517241379310347,4,1.4,5.0,13.0,3.25
1,0,1,4.051282051282051,6,3.6,4.0,9.0,3.0
0,1,1,4.524590163934426,10,24.7,25.0,4.0,4.0
0,1,1,4.366666666666666,5,6.8,7.0,6.0,3.0
1,0,1,3.928571428571429,7,1.0,2.0,11.0,3.6666666666666665
1,1,1,3.863636363636364,6,6.0,6.0,12.0,6.0
1,0,1,5.235294117647058,6,5.5,9.0,16.0,5.333333333333333
1,0,1,4.9230769230769225,3,13.4,17.0,4.0,4.0
0,1,1,4.425,4,7.3,7.0,10.0,3.333333333333333
1,0,1,4.861111111111111,5,10.3,10.0,10.0,5.0
1,0,1,4.311111111111111,8,3.3,5.0,19.0,3.8
0,1,1,4.4,4,7.6,8.0,10.0,10.0
1,0,1,4.590163934426228,14,11.6,9.0,8.0,4.0
0,1,1,4.066666666666666,9,2.1,4.0,19.0,3.8
1,0,1,4.020833333333333,7,18.5,19.0,4.0,4.0
0,1,1,4.047619047619048,3,0.1,3.0,10.0,3.333333333333333
1,0,1,4.208333333333333,3,3.3,6.0,6.0,3.0
1,1,1,4.25,4,7.2,7.0,10.0,5.0
1,0,1,4.3921568627450975,9,8.5,7.0,6.0,3.0
1,0,1,4.071428571428571,8,0.7,6.0,15.0,3.0
0,0,1,3.6458333333333335,4,3.5,4.0,13.0,4.333333333333333
1,0,1,3.796296296296296,5,3.8,4.0,12.0,3.0
0,1,1,4.8,2,13.0,13.0,8.0,8.0
1,0,1,4.666666666666667,13,7.2,9.0,18.0,6.0
0,1,1,4.45,3,8.7,9.0,8.0,4.0
0,1,1,4.049180327868854,9,4.5,5.0,17.0,3.4
0,1,1,4.380952380952381,3,10.3,10.0,13.0,13.0
1,0,1,4.203389830508475,12,3.2,5.0,24.0,4.8
0,1,1,4.535714285714286,4,11.8,8.0,10.0,10.0
1,1,1,3.886363636363636,4,8.3,8.0,6.0,3.0
1,0,1,4.0,6,29.4,0.0,2.0,2.0
1,0,1,4.1891891891891895,0,13.0,8.0,4.0,4.0
1,1,1,4.269230769230768,19,5.8,7.0,17.0,3.4
1,0,1,4.71,12,7.4,9.0,24.0,4.0
0,0,1,4.907692307692308,9,27.5,11.0,6.0,6.0
1,0,1,3.9787234042553186,4,3.2,6.0,15.0,3.75
0,1,1,3.8,1,8.3,9.0,4.0,4.0
1,1,1,3.9444444444444446,10,9.1,11.0,16.0,8.0
0,1,1,4.285714285714286,8,17.3,20.0,18.0,18.0
1,0,1,4.295454545454546,15,6.5,7.0,17.0,3.4
0,0,1,3.510869565217391,9,2.5,2.0,23.0,3.2857142857142856
1,0,1,4.714285714285714,12,20.0,9.0,8.0,8.0
0,1,1,4.304347826086956,4,3.1,5.0,6.0,3.0
0,1,1,4.235955056179775,9,3.5,5.0,26.0,3.7142857142857135
1,0,1,4.2,4,6.1,7.0,11.0,2.75
0,1,1,4.652173913043479,5,11.1,11.0,13.0,13.0
1,0,1,4.315068493150685,11,28.2,0.0,11.0,11.0
1,0,1,4.2075471698113205,6,6.7,7.0,8.0,2.6666666666666665
0,1,1,3.767123287671233,11,4.4,6.0,17.0,2.833333333333333
1,0,1,4.163636363636364,7,6.9,7.0,10.0,3.333333333333333
1,1,1,5.38,11,9.8,12.0,15.0,5.0
1,0,1,4.565217391304348,5,5.7,8.0,9.0,3.0
1,0,1,4.301075268817204,17,6.9,7.0,23.0,3.8333333333333335
1,0,1,4.861111111111111,7,5.6,8.0,9.0,3.0
0,1,1,4.886792452830188,13,5.1,7.0,17.0,3.4
0,1,1,4.840909090909091,14,9.1,9.0,6.0,3.0
0,1,1,3.9,3,11.1,13.0,2.0,2.0
1,1,1,3.7857142857142856,3,5.2,6.0,10.0,3.333333333333333
0,1,1,3.9827586206896552,7,7.0,7.0,15.0,5.0
0,1,1,3.88,3,1.8,2.0,11.0,3.6666666666666665
1,0,1,4.708333333333333,3,10.3,10.0,8.0,8.0
1,1,1,4.170212765957447,5,5.9,6.0,17.0,5.666666666666668
0,1,1,4.375,4,7.2,9.0,5.0,2.5
0,1,1,3.8837209302325584,5,32.1,0.0,12.0,12.0
1,0,1,4.521739130434782,7,6.9,7.0,10.0,3.333333333333333
1,1,1,4.28,3,9.5,7.0,4.0,4.0
0,1,1,3.772727272727273,5,1.7,2.0,12.0,3.0
0,0,1,4.285714285714286,3,9.5,7.0,8.0,8.0
0,1,1,3.9565217391304346,2,3.1,6.0,6.0,3.0
1,1,1,5.0,12,31.0,31.0,12.0,12.0
1,1,1,3.955555555555556,4,3.0,3.0,15.0,3.75
1,0,1,5.162790697674419,6,7.5,11.0,12.0,3.0
1,0,1,3.8936170212765964,2,8.9,9.0,6.0,3.0
1,1,1,4.6415094339622645,8,5.1,6.0,17.0,3.4
0,1,1,4.888888888888889,4,4.4,7.0,10.0,3.333333333333333
1,0,1,4.086956521739131,2,8.7,9.0,6.0,6.0
1,0,1,4.05,3,1.2,1.0,16.0,5.333333333333333
1,1,1,3.8837209302325584,6,5.2,5.0,23.0,3.8333333333333335
1,1,1,4.454545454545454,3,2.6,3.0,11.0,3.6666666666666665
0,1,1,4.461538461538462,6,12.3,13.0,11.0,11.0
0,1,1,3.7916666666666665,3,0.5,1.0,12.0,4.0
1,1,1,4.096774193548387,9,23.2,8.0,4.0,4.0
0,1,1,4.545454545454546,6,22.4,0.0,16.0,16.0
0,1,1,4.04,6,19.3,0.0,8.0,8.0
0,1,1,4.333333333333333,3,3.8,6.0,6.0,3.0
1,0,1,3.625,3,2.7,5.0,8.0,2.6666666666666665
0,1,1,3.9705882352941178,3,6.4,7.0,7.0,3.5
1,0,1,4.654545454545454,12,8.0,9.0,15.0,5.0
1,0,1,4.869565217391305,14,14.1,17.0,10.0,3.333333333333333
0,1,1,4.326923076923077,16,6.4,7.0,9.0,3.0
0,1,1,4.25,5,8.7,9.0,10.0,10.0
0,0,1,4.9393939393939394,9,5.2,9.0,16.0,5.333333333333333
1,1,1,4.487804878048781,8,18.1,0.0,18.0,18.0
0,1,1,4.575757575757576,4,6.2,9.0,7.0,3.5
1,0,1,5.190476190476192,3,8.6,9.0,6.0,3.0
0,1,1,5.571428571428571,3,7.2,9.0,11.0,3.6666666666666665
0,1,1,4.648148148148149,4,6.8,9.0,11.0,3.6666666666666665
1,0,1,4.542857142857144,3,7.8,8.0,7.0,3.5
1,1,1,4.32258064516129,3,3.8,6.0,11.0,3.6666666666666665
1,0,1,4.9850746268656705,11,27.9,28.0,4.0,4.0
1,1,1,4.511627906976744,5,6.4,7.0,10.0,3.333333333333333
0,1,1,4.688888888888889,11,5.5,6.0,15.0,3.0
0,1,1,4.5,6,2.1,3.0,11.0,2.75
1,1,1,4.391304347826087,5,5.7,7.0,12.0,4.0
0,1,1,3.6,5,6.0,6.0,14.0,7.0
0,1,1,5.473684210526316,3,9.4,6.0,8.0,4.0
1,0,1,3.6206896551724137,8,6.1,6.0,12.0,4.0
1,0,1,3.688888888888889,7,6.2,7.0,8.0,4.0
0,1,1,4.469135802469137,20,32.5,9.0,17.0,17.0
0,1,1,4.222222222222221,4,3.3,4.0,15.0,5.0
0,1,1,3.7258064516129035,6,5.5,6.0,7.0,2.333333333333333
0,1,1,4.580645161290323,11,25.1,26.0,14.0,14.0
1,0,1,4.676470588235294,4,5.3,6.0,10.0,3.333333333333333
1,0,1,4.557692307692308,9,3.8,4.0,24.0,3.4285714285714284
0,1,1,3.897435897435898,5,2.3,5.0,13.0,3.25
0,1,1,4.52112676056338,12,29.8,10.0,14.0,14.0
1,1,1,4.0,6,8.5,6.0,17.0,8.5
1,0,1,4.0625,4,2.7,5.0,12.0,4.0
1,0,1,4.28125,9,4.7,6.0,18.0,3.6
0,1,1,4.9523809523809526,4,11.5,10.0,12.0,12.0
0,0,1,4.230769230769232,19,8.6,10.0,19.0,4.75
1,0,1,3.9583333333333335,5,1.7,3.0,15.0,5.0
0,1,1,4.407407407407407,3,10.3,8.0,6.0,6.0
1,0,1,3.947368421052632,5,2.3,5.0,14.0,3.5
0,1,1,4.2727272727272725,5,4.0,6.0,12.0,6.0
0,1,1,4.293103448275862,10,12.2,8.0,18.0,9.0
1,0,1,4.769230769230768,6,4.3,5.0,11.0,3.6666666666666665
1,0,1,4.5,8,2.9,4.0,9.0,3.0
1,1,1,5.1875,14,6.8,9.0,19.0,4.75
1,1,1,4.461538461538462,3,2.0,6.0,11.0,3.6666666666666665
1,1,1,3.466666666666667,3,4.4,6.0,10.0,3.333333333333333
1,0,1,4.644444444444446,8,4.2,6.0,15.0,3.75
1,0,1,4.409836065573772,10,5.6,6.0,26.0,5.2
1,0,1,4.704545454545454,5,9.5,12.0,6.0,3.0
0,1,1,4.0,8,2.2,5.0,27.0,3.375
0,1,1,3.7857142857142856,9,5.1,8.0,13.0,2.6
0,1,1,4.421052631578949,3,7.2,7.0,4.0,4.0
0,1,1,4.96969696969697,30,13.7,19.0,9.0,3.0
1,0,1,4.854545454545455,7,22.4,23.0,12.0,12.0
0,1,1,4.3,5,8.7,9.0,4.0,4.0
1,0,1,4.146341463414634,10,5.1,5.0,23.0,3.8333333333333335
1,0,1,4.96,19,8.0,8.0,16.0,3.2
1,0,1,4.209302325581397,6,2.8,4.0,9.0,2.25
1,1,1,4.395061728395062,11,4.3,6.0,20.0,2.8571428571428568
1,0,1,4.548387096774194,4,3.8,7.0,7.0,2.333333333333333
1,0,1,3.7352941176470584,4,11.8,4.0,13.0,13.0
1,0,1,4.388888888888889,7,6.2,6.0,18.0,4.5
1,0,1,4.333333333333333,4,3.8,6.0,7.0,3.5
0,1,1,4.3478260869565215,7,8.7,11.0,4.0,4.0
1,0,1,3.861111111111111,3,2.1,3.0,12.0,4.0
0,1,1,4.618421052631579,19,17.9,18.0,16.0,8.0
0,1,1,4.185714285714286,10,4.3,6.0,22.0,3.6666666666666665
1,1,1,4.0144927536231885,6,6.5,7.0,11.0,2.75
0,1,1,4.1875,6,18.5,8.0,7.0,7.0
0,1,1,4.2,1,7.6,7.0,4.0,4.0
1,1,1,4.319444444444445,9,6.8,7.0,11.0,2.75
0,1,1,4.043478260869565,4,3.1,5.0,7.0,3.5
0,1,1,4.913043478260869,4,6.3,9.0,14.0,4.666666666666667
1,0,1,4.689655172413794,4,9.9,10.0,4.0,4.0
0,1,1,3.7903225806451615,6,4.6,6.0,16.0,3.2
0,1,1,3.9615384615384617,4,3.6,4.0,9.0,4.5
0,0,1,4.3023255813953485,7,4.0,6.0,13.0,3.25
1,1,1,4.1,9,3.7,4.0,24.0,3.4285714285714284
0,1,1,4.904761904761905,3,11.5,12.0,12.0,12.0
1,0,1,4.679012345679013,10,6.6,7.0,28.0,4.0
0,1,1,4.935483870967742,7,6.3,11.0,15.0,3.75
1,1,1,4.027397260273974,9,5.1,6.0,27.0,5.4
1,1,1,4.016129032258065,5,5.8,6.0,17.0,4.25
1,0,1,4.0,2,10.7,11.0,4.0,4.0
0,1,1,3.978260869565217,11,35.6,36.0,15.0,15.0
0,0,1,4.087912087912088,15,36.0,7.0,23.0,23.0
1,0,1,4.75,8,8.8,9.0,13.0,3.25
1,0,1,3.325,3,2.6,6.0,8.0,2.6666666666666665
0,1,1,4.0,3,6.2,6.0,12.0,6.0
1,1,1,4.714285714285714,6,5.3,6.0,20.0,4.0
1,0,1,4.142857142857143,6,4.2,4.0,18.0,3.6
1,0,1,4.75,4,4.8,5.0,6.0,3.0
0,1,1,4.0,2,9.5,10.0,7.0,7.0
0,1,1,5.026315789473684,13,7.5,8.0,25.0,3.571428571428572
1,0,1,4.038461538461538,2,2.5,5.0,6.0,3.0
0,1,1,4.12,3,4.2,4.0,11.0,3.6666666666666665
0,1,1,3.4339622641509435,9,1.4,1.0,13.0,2.6
1,0,1,4.2075471698113205,5,19.2,0.0,4.0,4.0
0,1,1,4.117021276595745,10,3.8,5.0,19.0,2.7142857142857144
0,1,1,3.75,5,13.8,14.0,16.0,16.0
1,0,1,3.6913580246913575,11,2.5,5.0,29.0,3.625
1,0,1,4.280701754385965,3,10.9,8.0,6.0,3.0
1,0,1,4.3157894736842115,6,7.2,7.0,9.0,3.0
1,1,1,4.5777777777777775,12,4.4,8.0,15.0,5.0
0,1,1,4.489795918367347,8,20.0,20.0,11.0,11.0
0,1,1,4.651162790697675,8,6.3,6.0,14.0,3.5
0,1,1,4.913043478260869,4,11.9,11.0,7.0,7.0
1,0,1,4.690476190476192,5,7.6,8.0,12.0,4.0
0,1,1,4.7368421052631575,4,3.5,6.0,12.0,6.0
0,0,1,4.2210526315789485,10,5.9,6.0,20.0,3.333333333333333
0,1,1,4.552631578947368,12,7.2,7.0,9.0,4.5
0,1,1,3.952380952380953,3,2.7,3.0,6.0,3.0
1,0,1,4.974358974358975,8,2.8,6.0,13.0,2.6
1,0,1,4.51063829787234,4,8.2,8.0,12.0,4.0
1,1,1,4.305555555555555,4,2.1,4.0,14.0,3.5
0,1,1,4.571428571428571,12,31.0,10.0,16.0,16.0
0,1,1,3.9574468085106393,6,2.2,2.0,14.0,2.8
1,0,1,3.9705882352941178,4,6.4,6.0,6.0,3.0
0,1,1,4.895348837209301,10,36.8,12.0,16.0,16.0
0,1,1,4.4848484848484835,13,25.5,9.0,19.0,19.0
1,1,1,4.7,2,6.0,6.0,8.0,4.0
0,1,1,4.8,3,13.0,13.0,11.0,11.0
0,1,1,4.0,2,10.7,14.0,3.0,3.0
1,0,1,4.655172413793104,8,5.2,6.0,9.0,4.5
1,0,1,5.064516129032258,6,4.0,4.0,14.0,3.5
1,0,1,4.333333333333333,2,13.8,16.0,4.0,4.0
1,0,1,4.353658536585366,7,5.1,7.0,18.0,3.0
1,1,1,4.1395348837209305,5,8.1,9.0,4.0,2.0
1,0,1,4.155555555555557,4,7.3,7.0,7.0,3.5
1,1,1,4.220338983050849,6,7.4,7.0,13.0,4.333333333333333
0,1,1,4.12,0,8.3,7.0,5.0,5.0
1,0,1,4.405405405405405,4,5.7,7.0,8.0,2.6666666666666665
0,1,1,4.802469135802468,17,16.7,17.0,40.0,20.0
0,1,1,4.0540540540540535,5,4.5,5.0,8.0,2.6666666666666665
1,0,1,4.181818181818182,8,12.6,13.0,8.0,8.0
1,0,1,3.555555555555556,5,4.4,5.0,8.0,2.6666666666666665
1,0,1,4.02,6,3.0,3.0,18.0,3.0
